,article_id,fit_ajustado,fit_amplio,fit_regular,fit_unknown,material_corduroy,material_cotton,material_delicado,material_denim,material_knit,material_leather,material_linen,material_sintetico,material_tencel,material_unknown,material_wool,material_woven,volumen_alto,volumen_medio,volumen_unknown
526,254940026,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1291,336881001,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1534,356174004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2258,399256018,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2259,399256019,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2262,399256032,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2264,399256037,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2860,434429007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3474,455491010,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
4192,478972005,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
4386,483011001,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
4387,483011004,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
4388,483011005,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
4417,483731003,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
4719,485950005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5485,496507003,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5650,498106001,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
5813,500134001,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
5814,500134002,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
5937,501322001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5938,501323001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
5939,501323003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
5940,501323004,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
5941,501323006,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
5942,501323007,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
5943,501323008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
5944,501323011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
5945,501323012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
6443,505838001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6682,508009001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
6717,508384001,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7008,509843003,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
7009,509843008,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
7156,510688001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
7181,511047001,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
7307,512508001,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7909,518328009,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7910,518328016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7911,518328024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7912,518329007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7913,518329010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7914,518329015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7915,518329019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8012,519589003,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
8013,519589004,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
8014,519589005,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
8023,519728002,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
8089,519914001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8090,519914004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8091,519914006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8092,519914008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8093,519914009,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8094,519914010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8129,520025002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
8130,520025004,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
8149,520392001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
8496,523535005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
8503,523558004,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8504,523558007,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8550,523756001,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
8653,524869003,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
8709,525456001,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
8728,525512001,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
8773,525583002,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
8886,526751002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
8887,526751003,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
9089,529064001,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9200,531195001,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
9241,531526002,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
9296,532205003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9395,533135004,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
9396,533135005,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
9542,533766001,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
9569,534037001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
9646,534307001,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
9806,536162002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
10124,538905005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
10125,538905010,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
10126,538905011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
10261,539465004,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10267,539471002,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10353,540404001,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
10744,542846001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10745,542846003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10971,544721001,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
11190,546371001,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
11221,546562001,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
11257,546729002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
11308,547087001,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
11313,547163002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
11395,547522002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
11396,547523001,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
11428,547747001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11457,547818001,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
11656,548986001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11873,550391001,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
12041,551230001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
12043,551236001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
12044,551236003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
12722,554558001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
12947,555435001,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
12948,555435002,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
13033,556137001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13034,556137002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13035,556137003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13036,556137004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13051,556346001,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
13065,556395001,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
13146,556552001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
13247,557193001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
