,id_prenda,article_id,product_code,prod_name,product_group_name,detail_desc,texto_prenda,fit,estructura,material,volumen,tiro,longitud
526,1,254940026,254940,Elsa high waist,lower body,5 pocket trousers in superstretch twill with slim legs and a high waist,blacktrousers trousers 5 pocket trousers in superstretch twill with slim legs and a high waist,ajustado,entallado,woven,bajo,alto,unknown
1291,2,336881001,336881,Cypress leather pants,lower body,leather trousers with a regular waist front pockets back pockets and slim legs with seams at the knees,blacktrousers trousers leather trousers with a regular waist front pockets back pockets and slim legs with seams at the knees,ajustado,entallado,leather,bajo,medio,unknown
1534,3,356174004,356174,Space Treggings s5,lower body,treggings in superstretch twill with an elasticated waist fake pockets at the front and real pockets at the back,blacktrousers trousers treggings in superstretch twill with an elasticated waist fake pockets at the front and real pockets at the back,ajustado,entallado,woven,bajo,alto,unknown
2258,4,399256018,399256,Skinny Ankle R.W Brooklyn,lower body,ankle length jeans in washed stretch denim with a regular waist fake front pockets real back pockets and skinny legs,bluetrousers trousers ankle length jeans in washed stretch denim with a regular waist fake front pockets real back pockets and skinny legs,ajustado,entallado,denim,bajo,medio,cropped
2259,5,399256019,399256,Skinny Ankle R.W Brooklyn,lower body,ankle length jeans in washed stretch denim with a regular waist fake front pockets real back pockets and skinny legs,greytrousers trousers ankle length jeans in washed stretch denim with a regular waist fake front pockets real back pockets and skinny legs,ajustado,entallado,denim,bajo,medio,cropped
2262,6,399256032,399256,Skinny Ankle R.W Brooklyn,lower body,ankle length jeans in washed stretch denim with a regular waist fake front pockets real back pockets and skinny legs,bluetrousers trousers ankle length jeans in washed stretch denim with a regular waist fake front pockets real back pockets and skinny legs,ajustado,entallado,denim,bajo,medio,cropped
2264,7,399256037,399256,Skinny Ankle R.W Brooklyn,lower body,ankle length jeans in washed stretch denim with a regular waist fake front pockets real back pockets and skinny legs,whitetrousers trousers ankle length jeans in washed stretch denim with a regular waist fake front pockets real back pockets and skinny legs,ajustado,entallado,denim,bajo,medio,cropped
2860,8,434429007,434429,Mimi superstretch s5,lower body,5 pocket trousers in washed superstretch twill with a regular waist and slim legs,greytrousers trousers 5 pocket trousers in washed superstretch twill with a regular waist and slim legs,ajustado,entallado,woven,bajo,medio,unknown
3474,9,455491010,455491,Spearmint shorts,lower body,short 5 pocket shorts in stretch twill with a regular waist zip fly button at the waist and sewn in turn ups at the hems,blackshorts shorts short 5 pocket shorts in stretch twill with a regular waist zip fly button at the waist and sewn in turn ups at the hems,regular,recta,woven,unknown,medio,mini
4192,10,478972005,478972,ED Hotpants (1),lower body,short 5 pocket shorts in washed stretch denim with hard worn details a regular waist zip fly with a button at the waist and raw edge hems,blueshorts shorts short 5 pocket shorts in washed stretch denim with hard worn details a regular waist zip fly with a button at the waist and raw edge hems,regular,recto,denim,unknown,medio,mini
4386,11,483011001,483011,W Luka,lower body,short skirt in crinkled chiffon with an elasticated waist and small frill trim at the top lined,blackskirt skirts short skirt in crinkled chiffon with an elasticated waist and small frill trim at the top lined,amplio,acampanado,delicado,alto,alto,mini
4387,12,483011004,483011,W Luka,lower body,short skirt in crinkled chiffon with an elasticated waist and small frill trim at the top lined,moleskirt skirts short skirt in crinkled chiffon with an elasticated waist and small frill trim at the top lined,amplio,acampanado,delicado,alto,alto,mini
4388,13,483011005,483011,W Luka,lower body,short skirt in crinkled chiffon with an elasticated waist and small frill trim at the top lined,blackskirt skirts short skirt in crinkled chiffon with an elasticated waist and small frill trim at the top lined,amplio,acampanado,delicado,alto,alto,mini
4417,14,483731003,483731,Premium Anna skirt,lower body,long skirt in a patterned silk weave with a concealed zip at the back and flare to the hem lined,greyskirt unknown long skirt in a patterned silk weave with a concealed zip at the back and flare to the hem lined,amplio,acampanada,delicado,alto,unknown,maxi
4719,15,485950005,485950,Sunflower,lower body,5 pocket ankle length trousers in washed superstretch twill with a regular waist and skinny legs,blacktrousers trousers 5 pocket ankle length trousers in washed superstretch twill with a regular waist and skinny legs,ajustado,entallado,woven,bajo,medio,cropped
5485,16,496507003,496507,W althea skirt,lower body,short skirt in soft twill made from a tencel lyocell and linen blend elasticated drawstring waist and side pockets unlined,blueskirt skirts short skirt in soft twill made from a tencel lyocell and linen blend elasticated drawstring waist and side pockets unlined,amplio,fluida,linen,bajo,unknown,mini
5650,17,498106001,498106,Bibbi trouser C,lower body,ankle length trousers in a jacquard weave viscose blend with a high waist and wide detachable belt concealed zip in the side side pockets and slightly shorter tapered legs with creases,whitetrousers trousers ankle length trousers in a jacquard weave viscose blend with a high waist and wide detachable belt concealed zip in the side side pockets and slightly shorter tapered legs with creases,amplio,entallada,sintetico,medio,alto,cropped
5813,18,500134001,500134,W Dylan,lower body,maxi skirt in a patterned viscose weave with a concealed zip in one side and flare to the hem unlined,moleskirt skirts maxi skirt in a patterned viscose weave with a concealed zip in one side and flare to the hem unlined,amplio,acampanada,sintetico,alto,unknown,maxi
