,id_prenda,article_id,product_code,prod_name,product_group_name,detail_desc,texto_prenda,fit,estructura,volumen,sleeve,neckline,material,neckline_effects
15,1,116379047,116379,Frugan longsleeve,upper body,fitted top in soft stretch jersey with a wide neckline and long sleeves,bluetop jersey basic fitted top in soft stretch jersey with a wide neckline and long sleeves,amplio,fluida,alto,larga,unknown,knit,unknown
290,2,215248002,215248,Bob v-neck tee,upper body,fitted top in soft stretch jersey with a v neck and short sleeves,blackt shirt jersey basic fitted top in soft stretch jersey with a v neck and short sleeves,ajustado,fluida,bajo,corta,v,knit,alarga
396,3,237222001,237222,Helsinki,upper body,fitted henley top in soft cotton jersey with a low cut neckline button placket and long sleeves,blacktop jersey basic fitted henley top in soft cotton jersey with a low cut neckline button placket and long sleeves,ajustado,fluida,bajo,larga,unknown,cotton,unknown
397,4,237222012,237222,Helsinki,upper body,fitted henley top in soft cotton jersey with a low cut neckline button placket and long sleeves,whitetop jersey basic fitted henley top in soft cotton jersey with a low cut neckline button placket and long sleeves,ajustado,fluida,bajo,larga,unknown,cotton,unknown
398,5,237222016,237222,Ingrid,upper body,fitted henley top in soft cotton jersey with a low cut neckline button placket and long sleeves,bluetop jersey basic fitted henley top in soft cotton jersey with a low cut neckline button placket and long sleeves,ajustado,fluida,bajo,larga,unknown,cotton,unknown
573,6,264984001,264984,Billie,upper body,fitted top in jersey with a wide neckline and short sleeves,blacktop jersey basic fitted top in jersey with a wide neckline and short sleeves,amplio,media,alto,corta,unknown,knit,unknown
1519,7,355307042,355307,Moa tanktop,upper body,fitted vest top in soft stretch jersey,whitevest top jersey basic fitted vest top in soft stretch jersey,ajustado,fluida,bajo,sin_mangas,unknown,knit,unknown
1520,8,355307052,355307,Moa tanktop,upper body,fitted vest top in soft stretch jersey,bluevest top jersey basic fitted vest top in soft stretch jersey,ajustado,fluida,bajo,sin_mangas,unknown,knit,unknown
1521,9,355307053,355307,Moa tanktop,upper body,fitted vest top in soft stretch jersey,greyvest top jersey basic fitted vest top in soft stretch jersey,ajustado,fluida,bajo,sin_mangas,unknown,knit,unknown
2711,10,424022011,424022,Annabel V neck,upper body,fitted slub jersey top made from organic cotton with a v neck and long sleeves,blackt shirt jersey fancy fitted slub jersey top made from organic cotton with a v neck and long sleeves,ajustado,media,bajo,larga,v,cotton,alarga
3608,11,458925001,458925,Javier,upper body,wide fitting sleeveless top in linen jersey with a gently rounded hem,whitetop jersey fancy wide fitting sleeveless top in linen jersey with a gently rounded hem,amplio,fluida,alto,sin_mangas,unknown,linen,unknown
3609,12,458925002,458925,Javier,upper body,wide fitting sleeveless top in linen jersey with a gently rounded hem,greytop jersey fancy wide fitting sleeveless top in linen jersey with a gently rounded hem,amplio,fluida,alto,sin_mangas,unknown,linen,unknown
3610,13,458925003,458925,Javier,upper body,wide fitting sleeveless top in linen jersey with a gently rounded hem,orangetop jersey fancy wide fitting sleeveless top in linen jersey with a gently rounded hem,amplio,fluida,alto,sin_mangas,unknown,linen,unknown
3611,14,458925009,458925,Javier,upper body,wide fitting sleeveless top in linen jersey with a gently rounded hem,greentop jersey fancy wide fitting sleeveless top in linen jersey with a gently rounded hem,amplio,fluida,alto,sin_mangas,unknown,linen,unknown
4111,15,476961005,476961,Arizona Hood,upper body,oversized jumper in a soft marled knit containing some wool with a drawstring hood dropped shoulders long sleeves and a wide ribbed hem with slits in the sides slightly longer at the back,bluesweater knitwear oversized jumper in a soft marled knit containing some wool with a drawstring hood dropped shoulders long sleeves and a wide ribbed hem with slits in the sides slightly longer at the back,amplio,fluida,alto,larga,unknown,wool,unknown
4112,16,476961006,476961,Arizona Hood,upper body,oversized jumper in a soft marled knit containing some wool with a drawstring hood dropped shoulders long sleeves and a wide ribbed hem with slits in the sides slightly longer at the back,redsweater knitwear oversized jumper in a soft marled knit containing some wool with a drawstring hood dropped shoulders long sleeves and a wide ribbed hem with slits in the sides slightly longer at the back,amplio,fluida,alto,larga,unknown,wool,unknown
4303,17,481550003,481550,Maribelle,upper body,wide jersey top in a cotton and modal blend with dropped shoulders and short sleeves,bluet shirt jersey fancy wide jersey top in a cotton and modal blend with dropped shoulders and short sleeves,amplio,media,alto,corta,redondo,cotton,cerrado
4304,18,481550005,481550,Maribelle,upper body,wide jersey top in a cotton and modal blend with dropped shoulders and short sleeves,oranget shirt jersey fancy wide jersey top in a cotton and modal blend with dropped shoulders and short sleeves,amplio,media,alto,corta,redondo,cotton,cerrado
5321,19,494058001,494058,Robin,upper body,shirt in a cotton weave with a small stand up collar and concealed buttons down the front yoke with a pleat at the back and long sleeves with drawstrings,whitevest top blouses shirt in a cotton weave with a small stand up collar and concealed buttons down the front yoke with a pleat at the back and long sleeves with drawstrings,amplio,media,alto,larga,alto,cotton,cerrado
5458,20,496110001,496110,Hook V-neck Sweater,upper body,oversized v neck jumper in a soft knit containing some wool low dropped shoulders and twisted seams and slits at the sides longer at the back,orangesweater knitwear oversized v neck jumper in a soft knit containing some wool low dropped shoulders and twisted seams and slits at the sides longer at the back,amplio,fluida,alto,unknown,v,wool,alarga
5617,21,497716012,497716,Studio strap,upper body,straight cut top in woven fabric with a slight sheen v neck and spaghetti straps,whitevest top blouses straight cut top in woven fabric with a slight sheen v neck and spaghetti straps,regular,media,unknown,tirantes,v,woven,alarga
5618,22,497716013,497716,Studio strap,upper body,straight cut top in woven fabric with a slight sheen v neck and spaghetti straps,greenvest top blouses straight cut top in woven fabric with a slight sheen v neck and spaghetti straps,regular,media,unknown,tirantes,v,woven,alarga
5625,23,497806001,497806,Candygirl,upper body,short off the shoulder top in a textured chiffon weave with narrow elastication and double flounces at the top narrow decorative shoulder straps and short flounced sleeves,yellowtop blouses short off the shoulder top in a textured chiffon weave with narrow elastication and double flounces at the top narrow decorative shoulder straps and short flounced sleeves,amplio,fluida,alto,tirantes,strapless,delicado,horizontal
5626,24,497806003,497806,Candygirl,upper body,short off the shoulder top in a textured chiffon weave with narrow elastication and double flounces at the top narrow decorative shoulder straps and short flounced sleeves,bluetop blouses short off the shoulder top in a textured chiffon weave with narrow elastication and double flounces at the top narrow decorative shoulder straps and short flounced sleeves,amplio,fluida,alto,tirantes,strapless,delicado,horizontal
5877,25,500557001,500557,Layla short t-shirt,upper body,wide jersey top in a cotton and modal blend with short sleeves and a chest pocket,whitet shirt jersey basic wide jersey top in a cotton and modal blend with short sleeves and a chest pocket,amplio,media,alto,corta,redondo,cotton,cerrado
5957,26,501436007,501436,Alex,upper body,fine knit v neck jumper in a soft viscose blend in a straight style with long sleeves and slits in the sides slightly longer at the back,greysweater knitwear fine knit v neck jumper in a soft viscose blend in a straight style with long sleeves and slits in the sides slightly longer at the back,regular,fluida,medio,larga,v,sintetico,alarga
5958,27,501436008,501436,Alex,upper body,fine knit v neck jumper in a soft viscose blend in a straight style with long sleeves and slits in the sides slightly longer at the back,redsweater knitwear fine knit v neck jumper in a soft viscose blend in a straight style with long sleeves and slits in the sides slightly longer at the back,regular,fluida,medio,larga,v,sintetico,alarga
6148,28,502589002,502589,Miniemouse,upper body,straight cut top in woven fabric with short puff sleeves,blueblouse blouses straight cut top in woven fabric with short puff sleeves,regular,media,alto,voluminosa,unknown,woven,unknown
6188,29,503134002,503134,Ridge,upper body,straight blouse in woven fabric with a small stand up collar and button placket drawstring at the sides long sleeves with buttoned cuffs and a rounded hem slightly longer at the back,bluetop blouses straight blouse in woven fabric with a small stand up collar and button placket drawstring at the sides long sleeves with buttoned cuffs and a rounded hem slightly longer at the back,unknown,media,medio,larga,alto,woven,cerrado
6189,30,503134003,503134,Ridge,upper body,straight blouse in woven fabric with a small stand up collar and button placket drawstring at the sides long sleeves with buttoned cuffs and a rounded hem slightly longer at the back,bluetop blouses straight blouse in woven fabric with a small stand up collar and button placket drawstring at the sides long sleeves with buttoned cuffs and a rounded hem slightly longer at the back,unknown,media,medio,larga,alto,woven,cerrado
6231,31,503703008,503703,Hasta la vista,upper body,sleeveless blouse in a cotton weave with a collar buttons down the back and a rounded hem slightly longer at the back,whitevest top blouses sleeveless blouse in a cotton weave with a collar buttons down the back and a rounded hem slightly longer at the back,unknown,media,medio,sin_mangas,alto,cotton,cerrado
6366,32,505071001,505071,Zidane blouse,upper body,short wide blouse in woven fabric with a collar buttons down the front gathers at the shoulders short cap sleeves and a rounded hem trims down the side seams and around the hem,whiteshirt blouses short wide blouse in woven fabric with a collar buttons down the front gathers at the shoulders short cap sleeves and a rounded hem trims down the side seams and around the hem,amplio,media,alto,unknown,alto,woven,cerrado
6367,33,505071002,505071,Zidane blouse,upper body,short wide blouse in woven fabric with a collar buttons down the front gathers at the shoulders short cap sleeves and a rounded hem trims down the side seams and around the hem,blueshirt blouses short wide blouse in woven fabric with a collar buttons down the front gathers at the shoulders short cap sleeves and a rounded hem trims down the side seams and around the hem,amplio,media,alto,unknown,alto,woven,cerrado
6368,34,505071006,505071,Zidane blouse,upper body,short wide blouse in woven fabric with a collar buttons down the front gathers at the shoulders short cap sleeves and a rounded hem trims down the side seams and around the hem,pinkshirt blouses short wide blouse in woven fabric with a collar buttons down the front gathers at the shoulders short cap sleeves and a rounded hem trims down the side seams and around the hem,amplio,media,alto,unknown,alto,woven,cerrado
6369,35,505071007,505071,Zidane blouse,upper body,short wide blouse in woven fabric with a collar buttons down the front gathers at the shoulders short cap sleeves and a rounded hem trims down the side seams and around the hem,blueshirt blouses short wide blouse in woven fabric with a collar buttons down the front gathers at the shoulders short cap sleeves and a rounded hem trims down the side seams and around the hem,amplio,media,alto,unknown,alto,woven,cerrado
6370,36,505071010,505071,Zidane blouse,upper body,short wide blouse in woven fabric with a collar buttons down the front gathers at the shoulders short cap sleeves and a rounded hem trims down the side seams and around the hem,blueshirt blouses short wide blouse in woven fabric with a collar buttons down the front gathers at the shoulders short cap sleeves and a rounded hem trims down the side seams and around the hem,amplio,media,alto,unknown,alto,woven,cerrado
6373,37,505083001,505083,Ronalda long shirt,upper body,longer shirt in lightweight checked viscose flannel with a collar and buttons down the front gathered yoke at the back and long sleeves with buttoned cuffs,whiteshirt blouses longer shirt in lightweight checked viscose flannel with a collar and buttons down the front gathered yoke at the back and long sleeves with buttoned cuffs,amplio,fluida,alto,larga,alto,sintetico,cerrado
6374,38,505083002,505083,Ronalda long shirt,upper body,longer shirt in lightweight checked viscose flannel with a collar and buttons down the front gathered yoke at the back and long sleeves with buttoned cuffs,blueshirt blouses longer shirt in lightweight checked viscose flannel with a collar and buttons down the front gathered yoke at the back and long sleeves with buttoned cuffs,amplio,fluida,alto,larga,alto,sintetico,cerrado
6375,39,505083003,505083,Ronalda long shirt,upper body,longer shirt in lightweight checked viscose flannel with a collar and buttons down the front gathered yoke at the back and long sleeves with buttoned cuffs,redshirt blouses longer shirt in lightweight checked viscose flannel with a collar and buttons down the front gathered yoke at the back and long sleeves with buttoned cuffs,amplio,fluida,alto,larga,alto,sintetico,cerrado
